# Pantalla iluminando en blanco, ganancia 1, tiempo de integración 30s, temperatura 19°C, distintas intensidades de la pantalla
# esperanza	varianza	color
4.094862605756254652e+03	6.975059030650992753e+00	1.000000000000000000e+00
4.094973889559327290e+03	1.256617048479689469e+00	1.000000000000000000e+00
5.112692184418145871e+02	1.235389645168530137e+02	1.000000000000000000e+00
6.127811799283712162e+02	1.779250863478292786e+02	1.000000000000000000e+00
7.137811199133187756e+02	2.341960585350599047e+02	1.000000000000000000e+00
8.113853696278417829e+02	2.916515061458156879e+02	1.000000000000000000e+00
9.072757143413266476e+02	3.534492832992769991e+02	1.000000000000000000e+00
1.004408101383265830e+03	4.190050414863474657e+02	1.000000000000000000e+00
1.102672389507422395e+03	4.894843260288099032e+02	1.000000000000000000e+00
1.199417066010069448e+03	5.582796824744394826e+02	1.000000000000000000e+00
1.826314018543029079e+03	9.816925033143545534e+02	2.000000000000000000e+00
3.177727747716183785e+03	2.224344691628662531e+03	2.000000000000000000e+00
4.089558896177203223e+03	6.488703426178680047e+02	2.000000000000000000e+00
1.972775722775874556e+03	1.102873306079902477e+03	2.000000000000000000e+00
3.449038139079206758e+03	2.496978621062041839e+03	2.000000000000000000e+00
4.090444751764766806e+03	5.214661362289945146e+02	2.000000000000000000e+00
2.116077944306031441e+03	1.227016206814296083e+03	2.000000000000000000e+00
3.706225737698536250e+03	2.741137245154185166e+03	2.000000000000000000e+00
4.091295497573445573e+03	4.040380415988074674e+02	2.000000000000000000e+00
2.268069118524862461e+03	1.366181541144001812e+03	2.000000000000000000e+00
3.964277272786255708e+03	3.401305832222850768e+03	2.000000000000000000e+00
4.092012318008408783e+03	3.094154771595372040e+02	2.000000000000000000e+00
2.415718495665939827e+03	1.501373227281254913e+03	2.000000000000000000e+00
4.087672527055434330e+03	7.288757460677954896e+02	2.000000000000000000e+00
4.092672013521229019e+03	2.260720677639610017e+02	2.000000000000000000e+00
2.560221300153119500e+03	1.641132008607532953e+03	2.000000000000000000e+00
4.092359439232326167e+03	2.538313547332926987e+02	2.000000000000000000e+00
4.093010870185819385e+03	1.854463717695078628e+02	2.000000000000000000e+00
4.093283622054396346e+03	1.540668458498902567e+02	2.000000000000000000e+00
2.709400205024395291e+03	1.780069163510336921e+03	2.000000000000000000e+00
