# Pantalla iluminando en blanco, ganancia 2, tiempo de integración 30s, temperatura 19°C, distintas intensidades y tiempos de encendido de la pantalla
# esperanza	varianza	color
5.916065332061663185e+02	3.177184376063275977e+02	1.000000000000000000e+00
2.150944062402678355e+03	2.297557040779142426e+03	1.000000000000000000e+00
3.828981621120107775e+03	5.045274052334085354e+03	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
6.224732556706114792e+02	3.495149580772932154e+02	1.000000000000000000e+00
2.331283236984843825e+03	2.582200894128489381e+03	1.000000000000000000e+00
4.085480471101941021e+03	6.952216107325950816e+02	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
6.538357371794871824e+02	3.825434403615290648e+02	1.000000000000000000e+00
2.511303802034672572e+03	2.868691066853574284e+03	1.000000000000000000e+00
4.094978195720439999e+03	2.843171736789440907e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
6.858529358714833961e+02	4.147336125916006040e+02	1.000000000000000000e+00
2.691377567346621163e+03	3.167092368415225337e+03	1.000000000000000000e+00
4.094999998377971679e+03	4.217271323140027780e-06	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
7.170685547077753199e+02	4.462037328535153051e+02	1.000000000000000000e+00
2.868658662280701719e+03	3.424689000214035786e+03	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
7.488911862218416218e+02	4.824724333471080513e+02	1.000000000000000000e+00
3.053805329661061023e+03	3.748678119043585411e+03	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
7.804120912488320982e+02	5.178800380641320089e+02	1.000000000000000000e+00
3.229294256721685997e+03	4.050058711045683594e+03	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
8.111301243122599089e+02	5.500141814129694922e+02	1.000000000000000000e+00
3.414085805629087645e+03	4.391429896360584280e+03	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
8.432330436390532213e+02	5.846802213770265553e+02	1.000000000000000000e+00
3.593143794443579282e+03	4.728335426851025659e+03	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
8.743011999766428062e+02	6.196265690728766913e+02	1.000000000000000000e+00
3.777824695707463889e+03	5.075144989234460809e+03	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.976912099034568655e+02	2.230249214365805415e+02	1.000000000000000000e+00
5.407579839484064905e+02	2.665838854741013506e+02	1.000000000000000000e+00
9.057297223736115939e+02	6.570916063292878562e+02	1.000000000000000000e+00
3.958084623494757579e+03	5.248051842744018359e+03	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
4.095000000000000000e+03	0.000000000000000000e+00	1.000000000000000000e+00
