Tiempo exposición(s)	Varianza total(ADU)	Varianza blue(ADU)	Varianza green2(ADU)	Varianza green3(ADU)	Varianza red(ADU)
230	28.34489048051289	19.519816441337525	21.55652964471831	35.54189620942483	32.95182865061459
234	30.2479351597025	21.051867313401175	23.876792730798932	37.65462828885695	34.508082367376815
267	32.28056341362954	23.083809292584075	23.192926413478435	40.839146460924425	37.11804726833691
270	32.14174831209774	22.88562853354603	24.45154597862841	40.14680892056906	36.135727283197724
275	30.47534412153088	20.533593247491545	22.430309693737954	38.728656207272444	35.49339296585573
283	40.725498146618854	28.61432125015961	31.4500142571454	52.00287335639122	45.450676602573694
286	40.869616464131575	29.733389055775667	31.85391147908353	49.610610077615505	46.73840042248161
288	40.59878623693535	28.475167347308506	31.18210454814238	50.755062293639845	46.3483138894113
294	45.09263157681867	31.769600145284752	37.686475444880664	55.23736841769789	49.86196493511993
298	41.370315487560106	29.506396055964203	30.55460060779859	52.6407820599449	46.908002997420574
308	40.776967807993266	30.13778616275488	29.8950702202788	52.266292300094726	44.615857700700374
311	40.749357205153785	29.261059666710196	28.79461397119964	51.83827593208005	46.83162235074876
316	49.08889765933297	35.67118679794679	38.00674460776759	60.78062423694748	55.289489240075646
323	50.59976347833806	36.03438149207401	37.79204332607397	63.475785981334965	58.211990843126536
325	42.85574453489147	27.805431022458038	30.808759313565798	55.55210194288975	50.704661653245346
333	51.05996530103078	36.37047423848254	37.87467881281892	65.46815287204588	57.31224813625039
337	51.69677670886086	37.24675664503743	37.37492145230829	65.53691326322144	59.26821065876916
339	51.04421481907961	36.431698247254026	38.02134646975257	65.71854354016148	56.55315098306993
351	47.35405068331886	32.890757435895814	33.39994185790444	60.69830901903239	54.39240056879819
351	65.67141579137703	47.30730856600187	53.992523336124705	81.44343448252226	71.89579629552584
351	60.25274871258323	41.97375854312604	46.99880495023658	76.52708471423634	67.4576394571644
353	60.142246875410216	43.88394202143951	45.7409589102332	74.54978805507555	68.2375471241072
368	61.13654501731726	43.62596730878187	45.85774925519957	79.56033148960708	66.60428668294806
368	68.91152354399398	50.03565636227971	53.97841916317589	86.82630709645959	75.90426786409087
373	69.80096103904681	50.28149775592525	54.44391740001198	86.77111526802008	78.67123621511574
375	60.2321319669622	42.46435572707758	43.769700995643575	77.69466671546658	68.28629687625546
382	76.12953950976627	55.087495110989664	62.47308651453004	93.29110070848756	84.22472251501591
391	79.33723477321499	57.572532716075784	64.02352290394175	99.08219982340708	86.84079349515675
392	81.26073904233228	58.59853087668928	66.18190836977186	101.41802298266579	88.97822652033808
394	81.5864232484591	60.47863423716886	63.2179606727799	101.01605189628488	91.64035369684088
396	80.63989010356798	58.40385281579112	64.78216290629433	99.59307367952333	89.75315125849754
399	79.64336181712304	59.37573804005549	63.81498428179496	98.57246993164424	86.67263193423697
400	64.65263248902178	45.330856757179774	46.503181407453354	84.07153153615627	72.98143907095425
425	62.36554237291363	42.87619297736396	42.056395743882604	82.54175616013907	71.00303559850127
475	88.71232419487028	63.3730212392915	62.76721309376174	114.09800137112774	101.0405477143309
500	103.4002473161938	72.36777406735148	73.19523247453375	136.20785271939593	116.69249720593396
550	117.14378181795206	84.22375449971155	80.30422195446157	156.5976416286458	129.303677140292
575	126.10812748559395	84.98204607916995	87.82956383085823	169.20325201624414	142.72456593886383
600	150.6090548850422	106.71049144652127	109.86188906316605	196.32273232208036	167.88604320413933
