Tiempo exposición(s)	Varianza total(ADU)	Varianza blue(ADU)	Varianza green2(ADU)	Varianza green3(ADU)	Varianza red(ADU)
00	2.282598267621715	2.2146043526699333	2.3089687577542657	2.308062692278648	2.210185317343159
10	2.5826692685977273	2.6432761497686195	2.4846531353900705	2.4283008674362576	2.711410693372477
20	3.098868551497865	3.33948794621344	2.6258664081144056	2.561353258445975	3.7986954524941816
30	3.7955635355191424	4.2320805517018885	2.825190097454077	2.755859127262643	5.2960388668935865
40	5.312813257150027	5.041718579588089	3.158248196419124	3.0867014092352814	9.882972494487518
50	6.148573052214422	5.829829573253773	3.455056509167409	3.432383348818721	11.781792537537891
50	6.148573052214422	5.829829573253773	3.455056509167409	3.432383348818721	11.781792537537891
60	6.9576162806577235	6.7081976925622895	3.9528611791774333	3.8942157672794586	13.1583806412654
70	7.80515925804022	7.186988585325987	4.46243791893231	4.820512123742327	14.610496222892381
80	9.00966968025647	7.857779491228539	5.416255882127849	5.982095525962281	16.51759855351784
90	9.816844974504754	8.19646735003294	6.078327822375087	6.995362117981328	17.686450983444324
100	11.018433530298012	9.927907984679754	7.607149776705123	7.705332533426552	18.474821890038914
110	11.624135266758353	9.425772447355776	8.335610337879478	8.671494451647963	19.651658927302556
120	12.348352366096238	10.048191378515597	8.237562480656472	9.785305531866383	20.85768120351582
130	13.221089499777477	10.666169131537915	8.743517807899545	10.80820235366501	22.15625048199107
140	14.552080566969073	11.337704196433295	10.748104366472075	11.976922693056384	23.579190043021246
150	15.193586364270791	11.895652824513746	10.43608005131552	13.079134758480144	24.752439290032648
160	17.230040543846496	12.608722185731391	12.810316492212989	14.174778884129067	28.649407204025888
170	18.19441114709266	13.256169489517811	14.064181385362335	15.360368094005361	29.357456181840224
180	19.06081171888702	14.101997829429504	12.745588468645664	17.503484046645816	30.878166068339798
190	19.97576976826968	14.660140599033465	13.55301540330044	18.623113276727434	31.9644285425594
200	21.06437533857314	15.242633436595108	14.35734683911038	20.47679163109626	32.968083071296775
210	21.94276697356677	15.959730262973597	15.163183785565534	21.533987628409587	33.82033146621164
220	23.2216243548602	17.03193499496735	16.2516392870327	23.168489720821732	35.03573136473402
230	24.844709309812224	17.669728001920163	19.693934941361913	24.300216795690893	36.20632091428881
240	25.9950952279913	18.15012113728324	21.24312155904411	25.9280799964688	37.071757747896285
250	26.92378590177453	18.983629204629494	21.758559206017285	27.348065824347607	37.923753494844824
260	29.387687881577754	19.471716630313768	19.11651733055029	33.45391744323126	43.73406322262594
270	31.872544869143226	20.112708085689437	24.418969015329267	36.048263293582714	45.05902149393626
280	34.96915941268684	25.452422979598236	29.77791559782475	36.461945426664926	46.24374283395298
290	36.08312650202956	25.734868351606558	30.892499500770267	38.57035971846275	47.07084028367554
300	37.401799113201186	27.06072369458363	31.269709513442905	40.35189200011084	48.527783332917444
310	38.17494579436787	27.2885570783296	32.59701692918572	41.613830202522	49.000403134047836
320	39.839932837107405	28.393402009441775	33.47859949559207	44.093122887937746	50.77223355632274
330	41.14445550459066	29.012470448705177	35.00261514006023	45.75940997179691	52.04678379020326
340	41.84012186746892	29.89050072897988	35.1381210456198	46.78196170168882	52.71608489111264
350	43.41184920923658	29.974668964604177	35.94527893424506	50.62377577546313	54.118519969884154
360	44.208475364353475	31.416201236921562	36.44383388499415	50.93748511084599	54.91591629427893
370	45.46612904981659	32.167248646129664	37.189042111282625	53.335794082521545	55.8791057681008
380	46.52748269871951	32.674672378945026	38.39819548440454	54.35463597865825	57.258860356137156
390	47.97317758545429	33.77750824153946	38.84082362778046	57.538115768163976	58.20736123971494
400	48.368748390331625	34.56007831074145	38.52858348690328	57.45884343683392	59.23277666108692
410	50.10245126678681	36.05713478906601	39.865355035142024	59.93114385417404	60.72771110995672
420	52.1492240171085	36.10480454314265	45.57272645537499	61.218695692789424	61.749800731885216
430	51.825614445971254	36.583691951471444	39.87328828175082	64.43192258535389	62.316267897949366
440	54.39408073746444	37.612244012430324	45.567279537610084	65.86739289509762	64.25671740029304
450	55.30101362896796	38.76425510874153	46.36516936213992	67.02080687456852	64.43072482099433
460	59.644199313577694	41.92281539164924	50.36099534889161	71.24163415806862	70.17255030294253
470	58.19723746161545	41.17413866056326	48.057118957961045	70.64992341850076	67.86598014012208
480	59.07250233554106	41.206687223190656	47.71597785387362	73.64263846272789	68.51806046821955
490	59.86429192218308	41.43919582648434	49.02825724446646	73.42182176479247	70.20790228217854
500	60.868339157056894	42.17912460213379	49.213941151338666	75.64399212614397	70.86495799343366
510	62.40027950172435	42.20471597270264	50.231318582207834	79.05849651315815	72.35857860460364
520	62.958776752679434	43.031104416485924	50.42186986897485	80.74172685478094	71.7153960802564
530	64.36293057475486	44.816362749473655	51.01183636062532	80.87456136758223	74.50660805458038
540	64.90229913511261	44.69146449240759	51.2463676010528	82.29288992835865	74.93946769002318
550	67.40880205956483	46.578175343675284	52.10036616841181	87.7699507375076	76.55809611594151
560	68.23075255211647	46.69000921122219	52.04351719767761	89.21236210350315	78.08658056803249
570	69.4116522346743	47.42661685019595	53.016310028447265	91.40953534256784	78.71820201758787
580	71.03275171343566	48.77696189791829	54.16894966971782	93.60502857890488	80.27804113378416
590	72.10388901339265	48.26414499096117	55.80973364950609	95.30515765958012	81.54478829395876
600	73.58950981143369	49.78036694695516	55.393209343826285	97.3362604884849	84.07062952791684
