# Pantalla iluminando en azul, ganancia 1, tiempo de integración 30s, temperatura 19°C, distintas intensidades y tiempos de encendido de la pantalla
# esperanza	varianza	color
4.066580017582788514e+03	4.615189932699783640e+03	1.000000000000000000e+00
1.909673495730821060e+03	1.191712167346202023e+03	1.000000000000000000e+00
3.416852303929201753e+03	2.895021172219682285e+03	1.000000000000000000e+00
4.072566316308522801e+03	3.497543751088360295e+03	1.000000000000000000e+00
4.079172266882072108e+03	2.337557496147187521e+03	1.000000000000000000e+00
1.985956726876362609e+03	1.268873253954989877e+03	1.000000000000000000e+00
3.562833841677047531e+03	3.072324149366148504e+03	1.000000000000000000e+00
4.083598884044430633e+03	1.569444205647614808e+03	1.000000000000000000e+00
4.087690580232014781e+03	9.145340038403786593e+02	1.000000000000000000e+00
2.062512044210007389e+03	1.349851170077668257e+03	1.000000000000000000e+00
3.708750501531194914e+03	3.283387358631983716e+03	1.000000000000000000e+00
4.092487240799854590e+03	2.344560080478239001e+02	1.000000000000000000e+00
4.093771659919028480e+03	9.330808931878897283e+01	1.000000000000000000e+00
2.103673506436208754e+03	1.423236713356311611e+03	1.000000000000000000e+00
3.795919213900134764e+03	3.526538389520107103e+03	1.000000000000000000e+00
4.094219369614865627e+03	5.206251877628845648e+01	1.000000000000000000e+00
4.094852171896086475e+03	7.493697238384881665e+00	1.000000000000000000e+00
4.573280367616526405e+02	9.441115972531723344e+01	1.000000000000000000e+00
5.364001910749507260e+02	1.369280786383578743e+02	1.000000000000000000e+00
6.142887713458943608e+02	1.783796181558815306e+02	1.000000000000000000e+00
6.903651134122287658e+02	2.197932149565135944e+02	1.000000000000000000e+00
7.666333057588498150e+02	2.669013513435771188e+02	1.000000000000000000e+00
8.431015539032492825e+02	3.137687392805988225e+02	1.000000000000000000e+00
9.196766489541161036e+02	3.633838573031396777e+02	1.000000000000000000e+00
9.953118842780027080e+02	4.155914090338411029e+02	1.000000000000000000e+00
9.363848570668535558e+02	3.658580088442799934e+02	2.000000000000000000e+00
1.558082338381085947e+03	8.052857652238660648e+02	2.000000000000000000e+00
4.073011981599709543e+03	3.314789865394859589e+03	2.000000000000000000e+00
9.998958508512405388e+02	4.088657217807236748e+02	2.000000000000000000e+00
1.676331944228174052e+03	9.027801107040428406e+02	2.000000000000000000e+00
4.077626400459358592e+03	2.612779265190043134e+03	2.000000000000000000e+00
1.063790150070071604e+03	4.516101144265083462e+02	2.000000000000000000e+00
1.798451003062389645e+03	1.012488742375989318e+03	2.000000000000000000e+00
4.080419551606456935e+03	2.131907543030543820e+03	2.000000000000000000e+00
1.123313454077130700e+03	4.949894862773340947e+02	2.000000000000000000e+00
1.920248349423855416e+03	1.118409321343903457e+03	2.000000000000000000e+00
4.082621510043600210e+03	1.754008863073238217e+03	2.000000000000000000e+00
1.191923383162047230e+03	5.412440786040440344e+02	2.000000000000000000e+00
2.045634190088757350e+03	1.231590508669410156e+03	2.000000000000000000e+00
4.084863949120211601e+03	1.378084157097278421e+03	2.000000000000000000e+00
1.255542420585487434e+03	5.893089597329999378e+02	2.000000000000000000e+00
2.167917404040797464e+03	1.348802015691701399e+03	2.000000000000000000e+00
3.351524425153119410e+03	2.582513177028627979e+03	2.000000000000000000e+00
4.086943863866396896e+03	1.043519133134481308e+03	2.000000000000000000e+00
1.319362846465275652e+03	6.342700799595053240e+02	2.000000000000000000e+00
2.284968402561507446e+03	1.466292674717731416e+03	2.000000000000000000e+00
3.546197998416900191e+03	2.788554719859545457e+03	2.000000000000000000e+00
4.088825509316931402e+03	7.543706455998836873e+02	2.000000000000000000e+00
1.384395968286099787e+03	6.851956947127901003e+02	2.000000000000000000e+00
2.409901749519879559e+03	1.593982032649757230e+03	2.000000000000000000e+00
3.739512959034049800e+03	3.029311785764256911e+03	2.000000000000000000e+00
4.090529192294716267e+03	5.071294245928626765e+02	2.000000000000000000e+00
1.446969185676839970e+03	7.314335344777996397e+02	2.000000000000000000e+00
2.534595834306550387e+03	1.722074411887630276e+03	2.000000000000000000e+00
3.924224572757707847e+03	3.523556213175838820e+03	2.000000000000000000e+00
4.091961695798297569e+03	3.140611090234689300e+02	2.000000000000000000e+00
1.509862263183847290e+03	7.818404227094119960e+02	2.000000000000000000e+00
2.647160339458112958e+03	1.839366568456342065e+03	2.000000000000000000e+00
4.067642828687844030e+03	2.014887285136696164e+03	2.000000000000000000e+00
4.093128318994602068e+03	1.708242014083640470e+02	2.000000000000000000e+00
5.146563359675075162e+02	1.222784877998218178e+02	2.000000000000000000e+00
1.572948148616734215e+03	8.313163031162929428e+02	2.000000000000000000e+00
2.779756226318384506e+03	1.980925738995596021e+03	2.000000000000000000e+00
4.091889502231911138e+03	2.755012089601578964e+02	2.000000000000000000e+00
4.093997686014221927e+03	7.798316545155310564e+01	2.000000000000000000e+00
1.636070515740163955e+03	8.885450687299127139e+02	2.000000000000000000e+00
2.897884764935638032e+03	2.114332612281892125e+03	2.000000000000000000e+00
4.094050227732793701e+03	6.952752752262131253e+01	2.000000000000000000e+00
4.094542094557770270e+03	2.918003148431112237e+01	2.000000000000000000e+00
1.699616220933250361e+03	9.417664346909374444e+02	2.000000000000000000e+00
3.022158072186753998e+03	2.257502159776218832e+03	2.000000000000000000e+00
4.094639518127789870e+03	2.148165908213528041e+01	2.000000000000000000e+00
4.094807321511989812e+03	1.037142017050629939e+01	2.000000000000000000e+00
1.763363028781272760e+03	1.002561631156600356e+03	2.000000000000000000e+00
3.146427916082736374e+03	2.407012159613221229e+03	2.000000000000000000e+00
4.094922439790303997e+03	3.810423996556462800e+00	2.000000000000000000e+00
4.094970058652548687e+03	1.419299067461995856e+00	2.000000000000000000e+00
1.797711222814803250e+03	1.053446961404390095e+03	2.000000000000000000e+00
3.220149458242499804e+03	2.570858188809058447e+03	2.000000000000000000e+00
4.094976432251115966e+03	1.121870402072090878e+00	2.000000000000000000e+00
4.094997245471296537e+03	1.247234802556280303e-01	2.000000000000000000e+00
4.242127147565659584e+02	7.814765767992545875e+01	2.000000000000000000e+00
4.901446009161216466e+02	1.123570300150028913e+02	2.000000000000000000e+00
5.552601259991695315e+02	1.443455020914636577e+02	2.000000000000000000e+00
6.187322381397279969e+02	1.792544098095825973e+02	2.000000000000000000e+00
6.824293982923284148e+02	2.131390281674813139e+02	2.000000000000000000e+00
7.463588108585072405e+02	2.507988467692707104e+02	2.000000000000000000e+00
8.103861365228900695e+02	2.869416144192834963e+02	2.000000000000000000e+00
8.734296973943735338e+02	3.264316044397288010e+02	2.000000000000000000e+00
9.356028914279040691e+02	3.784564985040685201e+02	3.000000000000000000e+00
1.556858534789266059e+03	8.403063724820367497e+02	3.000000000000000000e+00
3.917360401744004776e+03	2.626327698409066943e+04	3.000000000000000000e+00
9.990374808600643064e+02	4.235068373604639760e+02	3.000000000000000000e+00
1.675007337732274436e+03	9.455285694448222102e+02	3.000000000000000000e+00
3.931303288500467261e+03	2.563996824621890119e+04	3.000000000000000000e+00
1.062932182341949556e+03	4.673220182520211665e+02	3.000000000000000000e+00
1.797073779910204394e+03	1.060964003672674380e+03	3.000000000000000000e+00
3.942842032920689235e+03	2.439896587383100268e+04	3.000000000000000000e+00
1.122434461291913294e+03	5.124802577764653506e+02	3.000000000000000000e+00
1.918791913863801483e+03	1.175550600684161054e+03	3.000000000000000000e+00
3.953177604004463774e+03	2.312496533895452012e+04	3.000000000000000000e+00
1.190986364580089230e+03	5.618194140182288265e+02	3.000000000000000000e+00
2.044121168120004086e+03	1.299703628392582004e+03	3.000000000000000000e+00
3.964932119082840018e+03	2.157613659267676485e+04	3.000000000000000000e+00
1.254502345453129919e+03	6.130154907097919477e+02	3.000000000000000000e+00
2.166247421623585524e+03	1.423343491613160040e+03	3.000000000000000000e+00
3.344538482624831431e+03	2.724691114203333200e+03	3.000000000000000000e+00
3.977335371898681842e+03	1.984155906882258205e+04	3.000000000000000000e+00
1.318289750077857434e+03	6.598015050294118282e+02	3.000000000000000000e+00
2.283220453454271592e+03	1.550761641437687786e+03	3.000000000000000000e+00
3.530682124597737129e+03	3.076260467737724866e+03	3.000000000000000000e+00
3.990424291497975901e+03	1.789296614743998725e+04	3.000000000000000000e+00
1.383280767933146535e+03	7.126896170216149358e+02	3.000000000000000000e+00
2.408117034867123493e+03	1.688664596530835297e+03	3.000000000000000000e+00
3.705270662371535309e+03	4.193036076005514587e+03	3.000000000000000000e+00
4.004579477447316549e+03	1.565159799987745100e+04	3.000000000000000000e+00
1.445810019594103551e+03	7.616106666325447350e+02	3.000000000000000000e+00
2.532703458164642598e+03	1.829077479995838530e+03	3.000000000000000000e+00
3.855850800308834096e+03	7.482075418978255584e+03	3.000000000000000000e+00
4.019476573043184999e+03	1.316170174926755863e+04	3.000000000000000000e+00
1.508670988074846946e+03	8.158954581369121115e+02	3.000000000000000000e+00
2.645233363503062264e+03	1.954854597260240098e+03	3.000000000000000000e+00
3.971588649369355153e+03	1.229480704124259682e+04	3.000000000000000000e+00
4.035533834864528217e+03	1.033806466024708607e+04	3.000000000000000000e+00
5.144330238503061992e+02	1.280790888865381021e+02	3.000000000000000000e+00
1.571720428475033714e+03	8.692146892122352710e+02	3.000000000000000000e+00
2.777708913695110368e+03	2.108386041432574984e+03	3.000000000000000000e+00
